SN,tel,eng,names,finalised
981,హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్ను విమర్శించండి,Criticare హాస్పిటల్ అండ్ Research Institute,క్రితికారే హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,క్రితికారే హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్
982,కేంద్ర ఆసుపత్రి,Central హాస్పిటల్,సెంట్రల్ హాస్పిటల్,సెంట్రల్ హాస్పిటల్
983,వ్యాసార్థ జాయింట్ సర్జరీ హాస్పిటల్,Radius Joint Surgery హాస్పిటల్,రాధిస్ జాయింట్ సర్జరీ హాస్పిటల్,రేడియస్ జాయింట్ సర్జరీ హాస్పిటల్
984,రందవ ఆసుపత్రి,Randhawa హాస్పిటల్,రంధావా హాస్పిటల్,రంధావా హాస్పిటల్
985,సరస్వతి మిషన్ హాస్పిటల్,Saraswati Mission హాస్పిటల్,సరస్వతి మిషన్ హాస్పిటల్,సరస్వతి మిషన్ హాస్పిటల్
986,మీరు ఆసుపత్రిని అరవండి. లిమిటెడ్ .,Vikash హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,వికాస్ హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,వికాస్ హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .
987,డాక్టర్ గురువిందర్ సింగ్ హర్గన్ హాస్పిటల్,Dr. Gurvinder Singh's Hargun హాస్పిటల్,Dr. గుర్విందర్ Singh's హ్రగున్ హాస్పిటల్,డాక్టర్ గురువిందర్ సింగ్ హర్గన్ హాస్పిటల్
988,కొలంబియా హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Columbia హాస్పిటల్ అండ్ Research Centre,కొలంబియా హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,కొలంబియా హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
989,షుకాన్ మల్టీసిపాలిటీ హాస్పిటల్ అండ్ ట్రామా సెంటర్,Shukan Multispeciality హాస్పిటల్ అండ్ Trauma Center,శుకం ముల్టీస్పెషలిటీ హాస్పిటల్ అండ్ ట్రామా సెంటర్,షుకాన్ మల్టీసిపాలిటీ హాస్పిటల్ అండ్ ట్రామా సెంటర్
990,కమలాకర్ హాస్పిటల్.,Kamalakar హాస్పిటల్,కమలాకర్ హాస్పిటల్,కమలాకర్ హాస్పిటల్.
991,క్రెసెంట్ హాస్పిటల్ అండ్ హార్ట్ సెంటర్,Crescent హాస్పిటల్ అండ్ Heart Centre,క్రెసెంట్ హాస్పిటల్ అండ్ హార్ట్ సెంటర్,క్రెసెంట్ హాస్పిటల్ అండ్ హార్ట్ సెంటర్
992,పుష్పగిరి ఐ ఇన్స్టిట్యూట్ (పుష్పగిరి హెల్త్కేర్ హాస్పిటల్స్ ప్రైవేట్.లిమిటెడ్  యొక్క విభాగం.),Pushpagiri Eye Institute (A division of Pushpagiri Healthcare హాస్పిటల్స్ ప్రైవేట్.లిమిటెడ్ .),పుష్పగిరి ఐ ఇన్స్టిట్యూట్ (A డివిజన్ అఫ్ పుష్పగిరి హెల్త్ కేర్ హాస్పిటల్స్ ప్రైవేట్.లిమిటెడ్ .),పుష్పగిరి ఐ ఇన్స్టిట్యూట్ (పుష్పగిరి హెల్త్కేర్ హాస్పిటల్స్ ప్రైవేట్.లిమిటెడ్  యొక్క విభాగం.)
993,కిడ్స్ క్లినిక్ భారతదేశం ప్రైవేట్. లిమిటెడ్ .,Kids Clinic ఇండియా ప్రైవేట్. లిమిటెడ్ .,కిడ్స్ క్లినిక్ ఇండియా ప్రైవేట్. లిమిటెడ్ .,కిడ్స్ క్లినిక్ భారతదేశం ప్రైవేట్. లిమిటెడ్ .
994,సూర్య నర్సింగ్ హోమ్,Surya Nursing Home,సూర్య నర్సింగ్ హోమ్,సూర్య నర్సింగ్ హోమ్
995,"క్లౌడ్ నైన్ హాస్పిటల్, కళ్యాణినగర్ ","క్లౌడ్ నైన్ హాస్పిటల్, Kalyaninagar","క్లోజుడ్నినే హాస్పిటల్, కళ్యాణినగర్","క్లౌడ్ నైన్ హాస్పిటల్, కళ్యాణినగర్ "
996,బన్సాల్ గ్లోబల్ హాస్పిటల్,Bansal Global హాస్పిటల్,బన్సల్ గ్లోబల్ హాస్పిటల్,బన్సాల్ గ్లోబల్ హాస్పిటల్
997,డాక్టర్ పారామిందర్ సింగ్ పనూ మెమోరియల్ జనతా హాస్పిటల్,Dr. Parminder Singh Pannu Memorial Janta హాస్పిటల్,Dr. పర్మిన్డెర్ సింగ్ పన్ను మెమోరియల్ జంట హాస్పిటల్,డాక్టర్ పారామిందర్ సింగ్ పనూ మెమోరియల్ జనతా హాస్పిటల్
998,హెల్త్కేర్ నిర్బంధ ప్రైవేట్. లిమిటెడ్ .,Salokaya Healthcare ప్రైవేట్. లిమిటెడ్ .,సలోకాయ హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్ .,హెల్త్కేర్ నిర్బంధ ప్రైవేట్. లిమిటెడ్ .
999,అపోలో స్పెక్ట్రా హాస్పిటల్స్,Apollo Spectra హాస్పిటల్స్,అపోలో స్పెక్ట్రా హాస్పిటల్స్,అపోలో స్పెక్ట్రా హాస్పిటల్స్
1000,Akanksha హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,Akanksha హాస్పిటల్ and Research Institute,ఆకాంక్ష హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,ఆకాంక్ష హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్
1001,"సర్జన్ యొక్క ఆసుపత్రి, కోట్వారా ","Surgeon's హాస్పిటల్, Koteswara","Surgeon's హాస్పిటల్, కోటేశ్వర","సర్జన్ యొక్క ఆసుపత్రి, కోట్వారా "
1002,సిల్వర్లైన్ హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,Silverline హాస్పిటల్ అండ్ Research Institute,సిల్వేర్లనే హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,సిల్వర్లైన్ హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్
1003,"స్వామి వివేకానంద్ ఇన్స్టిట్యూట్ ఆఫ్ న్యూరాలజీ, న్యూరోసర్జరీ అండ్ స్పైన్ ","Swami Vivekanand Institute Of Neurology, Neurosurgery and Spine","స్వామి వివేకానంద్ ఇన్స్టిట్యూట్ అఫ్ Neurology, నెఉరోసర్జరీ అండ్ స్పిన్","స్వామి వివేకానంద్ ఇన్స్టిట్యూట్ ఆఫ్ న్యూరాలజీ, న్యూరోసర్జరీ అండ్ స్పైన్ "
1004,Christudas ఆర్థోపెడిక్ స్పెషాలిటీ హాస్పిటల్,Christudas Orthopaedic Speciality హాస్పిటల్,క్రిస్తుదాస్ ఆర్థోపెడిక్ స్పెషలిటీ హాస్పిటల్,క్రిస్తుదాస్ ఆర్థోపెడిక్ స్పెషలిటీ హాస్పిటల్
1005,మిచన్ మడి,Moolchand Medcity,మూలచంద్ మెడిసిటీ,మూలచంద్ మెడిసిటీ
1006,స్వరూప్ ఐ హాస్పిటల్ అండ్ లాస్కిక్ సెంటర్,Swaroop Eye హాస్పిటల్ and Lasik Centre,స్వరూప్ ఐ హాస్పిటల్ అండ్ లాజిక్ సెంటర్,స్వరూప్ ఐ హాస్పిటల్ అండ్ లాస్కిక్ సెంటర్
1007,కిషన్ సింగ్ హాస్పిటల్ లిమిటెడ్.,Kishan Singh హాస్పిటల్ లిమిటెడ్ .,కిషన్ సింగ్ హాస్పిటల్ లిమిటెడ్ .,కిషన్ సింగ్ హాస్పిటల్ లిమిటెడ్.
1008,సార్వోట్టం హాస్పిటల్ (సంజీవని సూపర్స్పెసియాలిటీ హెల్త్కేర్ ప్రైవేట్. లిమిటెడ్ .),Sarvottam హాస్పిటల్ (A unit of Sanjeevani Superspecialty Healthcare ప్రైవేట్. లిమిటెడ్ .),సర్వోత్తమ హాస్పిటల్ (యూనిట్ అఫ్ సంజీవని సూపర్ స్పెషలిటీ హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్ .),సర్వోత్తమ హాస్పిటల్ (యూనిట్ అఫ్ సంజీవని సూపర్ స్పెషలిటీ హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్ .)
1009,షీట్స్ హాస్పిటల్ అండ్ ఐ ఇన్స్టిట్యూట్ ప్రైవేట్. లిమిటెడ్ .,Sheetla హాస్పిటల్ అండ్ Eye Institute ప్రైవేట్. లిమిటెడ్ .,షీట్ల హాస్పిటల్ అండ్ ఐ ఇన్స్టిట్యూట్ ప్రైవేట్. లిమిటెడ్ .,షీట్స్ హాస్పిటల్ అండ్ ఐ ఇన్స్టిట్యూట్ ప్రైవేట్. లిమిటెడ్ .
1010,వృషభం ఆసుపత్రి,Taurus హాస్పిటల్,టారస్ హాస్పిటల్,టారస్ హాస్పిటల్
1011,లైఫ్ కేర్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్,Life Care Institute of Medical Sciences,లైఫ్ కేర్ ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్,లైఫ్ కేర్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్
1012,బ్యాంకర్స్ హార్ట్ అండ్ మల్టీ స్పెషాలిటీ హాస్పిటల్,Bankers Heart అండ్ Multi speciality హాస్పిటల్,బ్యాంకర్స్ హార్ట్ అండ్ మల్టీ స్పెషలిటీ హాస్పిటల్,బ్యాంకర్స్ హార్ట్ అండ్ మల్టీ స్పెషాలిటీ హాస్పిటల్
1013,ఆనంద్ ఆర్థోపెడిక్ సెంటర్,Anand Orthopaedic Centre,ఆనంద్ ఆర్థోపెడిక్ సెంటర్,ఆనంద్ ఆర్థోపెడిక్ సెంటర్
1014,ఫోర్టిస్ ఇంటర్నేషనల్ హాస్పిటల్ లిమిటెడ్,Fortis International హాస్పిటల్ లిమిటెడ్,ఫోర్టిస్ ఇంటర్నేషనల్ హాస్పిటల్ లిమిటెడ్,ఫోర్టిస్ ఇంటర్నేషనల్ హాస్పిటల్ లిమిటెడ్
1015,బేడి వైద్యశాల,Bedi హాస్పిటల్,బేడీ హాస్పిటల్,బేడీ హాస్పిటల్
1016,కృష్ణ హార్ట్ అండ్ జనరల్ హాస్పిటల్,Krishna Heart అండ్ General హాస్పిటల్,కృష్ణ హార్ట్ అండ్ జనరల్ హాస్పిటల్,కృష్ణ హార్ట్ అండ్ జనరల్ హాస్పిటల్
1017,ఖండెల్వాల్ హాస్పిటల్ అండ్ యూరాలజీ సెంటర్ ప్రైవేట్.లిమిటెడ్ ,Khandelwal హాస్పిటల్ అండ్ Urology Centre ప్రైవేట్.లిమిటెడ్ ,ఖండేల్వాల్ హాస్పిటల్ అండ్ యూరాలజీ సెంటర్ ప్రైవేట్.లిమిటెడ్ ,ఖండెల్వాల్ హాస్పిటల్ అండ్ యూరాలజీ సెంటర్ ప్రైవేట్.లిమిటెడ్ 
1018,"కాస్మోస్ సూపర్స్పాలిటీ హాస్పిటల్, ఆనంద్ విహార్ ","Kosmos Superspeciality హాస్పిటల్, Anand Vihar","కోసమోస్ సూపర్ స్పెషలిటీ హాస్పిటల్, ఆనంద్ విహార్","కాస్మోస్ సూపర్స్పాలిటీ హాస్పిటల్, ఆనంద్ విహార్ "
1019,శ్రీకృష్ణ హార్డ్హోరా అండ్ క్రిటికల్ కేర్ సెంటర్,Shrikrishna Hrudayalaya అండ్ Critical Care Centre,శ్రీకృష్ణ హృదయాలయ అండ్ క్రిటికల్ కేర్ సెంటర్,శ్రీకృష్ణ హృదయాలయ అండ్ క్రిటికల్ కేర్ సెంటర్
1020,PGH ఆస్పత్రులు ప్రైవేట్. లిమిటెడ్ .,PGH హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,ప్గ్ హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,PGH ఆస్పత్రులు ప్రైవేట్. లిమిటెడ్ .
1021,నీల్కాంత్ హాస్పిటల్స్ ప్రైవేట్. పరిమిత,Neelkanth హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్,నీలకంఠ్ హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్,నీలకంఠ్ హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్
1022,క్లౌడ్ నైన్ హాస్పిటల్ గురుగ్రం (కిడ్స్ క్లినిక్ భారతదేశం ప్రైవేట్. లిమిటెడ్ .,క్లౌడ్ నైన్ హాస్పిటల్ Gurugram (Kids Clinic ఇండియా ప్రైవేట్. లిమిటెడ్ .),క్లోజుడ్నినే హాస్పిటల్ గురుగ్రం (Kids క్లినిక్ ఇండియా ప్రైవేట్. లిమిటెడ్ .),క్లౌడ్ నైన్ హాస్పిటల్ గురుగ్రం (కిడ్స్ క్లినిక్ భారతదేశం ప్రైవేట్. లిమిటెడ్ .
1023,అద్భుతాలు ఆసుపత్రి,Miracles హాస్పిటల్,మిరాకిల్స్ హాస్పిటల్,మిరాకిల్స్ హాస్పిటల్
1024,న్యూ ఎరా హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,New Era హాస్పిటల్అండ్ Research Institute,న్యూ ఎరా హాస్పిటల్అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,న్యూ ఎరా హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్
1025,వుడ్ సూపర్ స్పెషాలిటీ హాస్పిటల్,Upasani Super Specialty హాస్పిటల్,ఉపాసని సూపర్ స్పెషాలిటీ హాస్పిటల్,ఉపాసని సూపర్ స్పెషాలిటీ హాస్పిటల్
1026,శివాచ్ ఆసుపత్రి,Siwach హాస్పిటల్,శివాచ్ హాస్పిటల్,శివాచ్ ఆసుపత్రి
1027,K.m.sprciality ఆసుపత్రి,K.M.Sprciality హాస్పిటల్,K.M.Sprciality హాస్పిటల్,K.m.స్పెషలిటీ ఆసుపత్రి
1028,జ్యోతి నర్సింగ్ హోమ్ ప్రెవేట్. లిమిటెడ్ .,Jyoti Nursing Home ప్రైవేట్. లిమిటెడ్ ,జ్యోతి నర్సింగ్ హోమ్ ప్రైవేట్. ల్టీడ్,జ్యోతి నర్సింగ్ హోమ్ ప్రెవేట్. లిమిటెడ్ .
1029,Krupamayi హాస్పిటల్స్,Krupamayi హాస్పిటల్స్,కృపామయి హాస్పిటల్స్,కృపామయి హాస్పిటల్స్
1030,స్టార్ ఆసుపత్రి,Star హాస్పిటల్,స్టార్ హాస్పిటల్,స్టార్ ఆసుపత్రి
1031,భారత్ మల్టీ స్పెషాలిటీ హాస్పిటల్,Bharat Multi Specialty హాస్పిటల్,భారత్ మల్టీ స్పెషాలిటీ హాస్పిటల్,భారత్ మల్టీ స్పెషాలిటీ హాస్పిటల్
1032,గుప్తా హాస్పిటల్,Gupta హాస్పిటల్,గుప్త హాస్పిటల్,గుప్తా హాస్పిటల్
1033,సిస్టమ్ మెడికేర్ ప్రైవేట్. లిమిటెడ్ .,Samved Medicare Private లిమిటెడ్,సామవేద మెడికేర్ ప్రైవేట్ లిమిటెడ్,సిస్టమ్ మెడికేర్ ప్రైవేట్. లిమిటెడ్ .
1034,సిగ్నస్ సూపర్ స్పెషాలిటీ హాస్పిటల్,సిగ్నస్ Super Speciality హాస్పిటల్,సైగ్నుస్ సూపర్ స్పెషలిటీ హాస్పిటల్,సిగ్నస్ సూపర్ స్పెషాలిటీ హాస్పిటల్
1035,భోపాల్ కేర్ హాస్పిటల్,Bhopal Care హాస్పిటల్,భోపాల్ కేర్ హాస్పిటల్,భోపాల్ కేర్ హాస్పిటల్
1036,రాజ్శర్ మల్టీ స్పెషాలిటీ హాస్పిటల్,Rajshekar Multi Speciality హాస్పిటల్,రాజశేఖర్ మల్టీ స్పెషలిటీ హాస్పిటల్,రాజ్శర్ మల్టీ స్పెషాలిటీ హాస్పిటల్
1037,నీరాజా ఆసుపత్రి,Neerja హాస్పిటల్,నీర్జా హాస్పిటల్,నీరాజా ఆసుపత్రి
1038,క్లౌడ్ నైన్ హాస్పిటల్ Bellandur.,క్లౌడ్ నైన్ హాస్పిటల్ Bellandur,క్లోజుడ్నినే హాస్పిటల్ బెల్లందురు,క్లౌడ్ నైన్ హాస్పిటల్ బెల్లందురు
1039,Lakecity ఇన్స్టిట్యూట్ ఆఫ్ సర్జికల్ సైన్సెస్ ప్రైవేట్. లిమిటెడ్ .,Lakecity Institute Of Surgical Sciences ప్రైవేట్. లిమిటెడ్ .,లేక్సిటీ ఇన్స్టిట్యూట్ అఫ్ సర్జికల్ సైన్సెస్ ప్రైవేట్. లిమిటెడ్ .,లేక్సిటీ ఇన్స్టిట్యూట్ అఫ్ సర్జికల్ సైన్సెస్ ప్రైవేట్. లిమిటెడ్ .
1040,మంగళం మెడికల్ అండ్ సర్జికల్ సెంటర్,Mangalam Medical అండ్ Surgical Centre,మంగళం మెడికల్ అండ్ సర్జికల్ సెంటర్,మంగళం మెడికల్ అండ్ సర్జికల్ సెంటర్
1041,Dr.Punjs ఆర్టిమిస్ హాస్పిటల్,Dr.PunjS Artemis హాస్పిటల్,Dr.PunjS అర్తెమిస్ హాస్పిటల్,Dr.పుంజ్స్ ఆర్టిమిస్ హాస్పిటల్
1042,శక్తి న్యూరో సైన్స్ సెంటర్,Shakti Neuro Science Centre,శక్తి నెర్వ్ సైన్స్ సెంటర్,శక్తి న్యూరో సైన్స్ సెంటర్
1043,వాసు ఐ ఇన్స్టిట్యూట్ అండ్ స్కిన్ సెంటర్,Vasu Eye Institute అండ్ Skin Centre,వాసు ఐ ఇన్స్టిట్యూట్ అండ్ స్కిన్ సెంటర్,వాసు ఐ ఇన్స్టిట్యూట్ అండ్ స్కిన్ సెంటర్
1044,మహిళలకు CK బిర్లా హాస్పిటల్,CK Birla హాస్పిటల్ For Women,క్ బిర్లా హాస్పిటల్ ఫర్ విమెన్,CK బిర్లా హాస్పిటల్ ఫర్ విమెన్
1045,పాటియాలా హార్ట్ ఇన్స్టిట్యూట్,Patiala Heart Institute,పాటియాలా హార్ట్ ఇన్స్టిట్యూట్,పాటియాలా హార్ట్ ఇన్స్టిట్యూట్
1046,"క్లౌడ్ నైన్ హాస్పిటల్, మలాడ్ ","క్లౌడ్ నైన్ హాస్పిటల్, Malad","క్లోజుడ్నినే హాస్పిటల్, మలాద్","క్లౌడ్ నైన్ హాస్పిటల్, మలాడ్ "
1047,SBS హాస్పిటల్ ప్రైవేట్ లిమిటెడ్ ,SBS హాస్పిటల్ ప్రైవేట్ లిమిటెడ్ ,సబ్స్ హాస్పిటల్ పీప్ట్ ల్టీడ్,SBS హాస్పిటల్ ప్రైవేట్ లిమిటెడ్ 
1048,డాక్టర్ కుమార్స్ క్లినిక్ అండ్ IPC బరోడా,Dr Kumars Clinic And Ipc Baroda,డ్ర్ కుమార్స్ క్లినిక్ అండ్ ఐపీసీ బరోడా,డాక్టర్ కుమార్స్ క్లినిక్ అండ్ IPC బరోడా
1049,చుగ్ మల్టీ స్పెసిలిటీ హాస్పిటల్,Chugh Multi Specality హాస్పిటల్,ఛుగ్ మల్టీ స్పెకాలిటీ హాస్పిటల్,చుగ్ మల్టీ స్పెసిలిటీ హాస్పిటల్
1050,సిద్ధం ఏంటి సెంటర్,Siddham ENT Center,సిద్ధం ఎన్టీ సెంటర్,సిద్ధం ENT సెంటర్
1051,కామత్ హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,Kamat హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,కామత్ హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,కామత్ హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .
1052,రెడీ హాస్పిటల్ (అండ్ సిద్ధంగా మెడికేర్ అండ్ రీసెర్చ్ సెంటర్ ప్రైవేట్. లిమిటెడ్ ),Barod హాస్పిటల్ (A Unit Of Barod Medicare అండ్ Research Centre ప్రైవేట్. లిమిటెడ్ ),బారోడ్ హాస్పిటల్ (యూనిట్ అఫ్ బారోడ్ మెడికేర్ అండ్ రీసెర్చ్ సెంటర్ ప్రైవేట్. లిమిటెడ్ ),బారోడ్ హాస్పిటల్ (యూనిట్ అఫ్ బారోడ్ మెడికేర్ అండ్ రీసెర్చ్ సెంటర్ ప్రైవేట్. లిమిటెడ్ )
1053,శ్రీ హాస్పిటల్స్,Sri హాస్పిటల్స్,శ్రీ హాస్పిటల్స్,శ్రీ హాస్పిటల్స్
1054,రాజన్ ఐ హార్ట్ అండ్ లేజర్ సెంటర్,Rajan Eye Heart And Laser Centre,రాజన్ ఐ హార్ట్ అండ్ లేసర్ సెంటర్,రాజన్ ఐ హార్ట్ అండ్ లేజర్ సెంటర్
1055,"సర్వ్ హాస్పిటల్, దిల్ల్న్ స్టేషన్ ","Sevadham హాస్పిటల్, Talegaon Station","సేవాదం హాస్పిటల్, తలెగాన్ స్టేషన్","సేవాదం హాస్పిటల్, తలెగాన్ స్టేషన్"
1056,"క్లౌడ్ నైన్ హాస్పిటల్, పాత విమానాశ్రయం రోడ్ ","క్లౌడ్ నైన్ హాస్పిటల్, Old Airport Road","క్లోజుడ్నినే హాస్పిటల్, ఓల్డ్ ఎయిర్పోర్ట్ రోడ్","క్లౌడ్ నైన్ హాస్పిటల్, పాత విమానాశ్రయం రోడ్ "
1057,బ్రెయిన్ అండ్ స్పైన్ ఇన్స్టిట్యూట్,Institute of Brain and Spine,ఇన్స్టిట్యూట్ అఫ్ బ్రెయిన్ అండ్ స్పిన్,ఇన్స్టిట్యూట్ అఫ్ బ్రెయిన్ అండ్ స్పిన్
1058,ఓహ్రిడ్ హాస్పిటల్,Ohri హాస్పిటల్,ఒహ్రి హాస్పిటల్,ఒహ్రి హాస్పిటల్
1059,సింగల్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ అండ్ సర్జికల్ స్పెషాలిటీస్,Singhal Institute of medical అండ్ Surgical Specialities,సింఘాల్ ఇన్స్టిట్యూట్ అఫ్ మెడికల్ అండ్ సర్జికల్ స్పెషలిటీస్,సింగల్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ అండ్ సర్జికల్ స్పెషాలిటీస్
1060,మహీంద్రా ఆసుపత్రి,Mahindru హాస్పిటల్,మహీంద్రూ హాస్పిటల్,మహీంద్రా ఆసుపత్రి
1061,A.P హెల్త్కేర్ అండ్ ట్రామా సెంటర్,A.P Healthcare అండ్ Trauma Centre,A.P హెల్త్ కేర్ అండ్ ట్రామా సెంటర్,A.P హెల్త్కేర్ అండ్ ట్రామా సెంటర్
1062,Dingra జనరల్ హాస్పిటల్,Dhingra General హాస్పిటల్,ధింగ్య్రా జనరల్ హాస్పిటల్,ధింగ్రా జనరల్ హాస్పిటల్
1063,అపోలో మహిళల ఆసుపత్రి,Apollo Women's హాస్పిటల్,అపోలో Women's హాస్పిటల్,అపోలో మహిళల ఆసుపత్రి
1064,త్రివేణి నర్సింగ్ హోమ్,Triveni Nursing Home,త్రివేణి నర్సింగ్ హోమ్,త్రివేణి నర్సింగ్ హోమ్
1065,"M.j.హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్, భరత్పూర్ ","M.J.హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ , Bharatpur","M.J.హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ , భారతపూర్","M.j.హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్, భరత్పూర్ "
1066,S.S. హాస్పిటల్,S.S. హాస్పిటల్,S.S. హాస్పిటల్,S.S. హాస్పిటల్
1067,మధు నర్సింగ్ హోమ్,Madhu Nursing Home,మధు నర్సింగ్ హోమ్,మధు నర్సింగ్ హోమ్
1068,సుఖ సాగర్ హాస్పిటల్,Sukh Sagar హాస్పిటల్,సుఖ్ సాగర్ హాస్పిటల్,సుఖ సాగర్ హాస్పిటల్
1069,నర్సింగ్ డే హోమ్,Latha Nursing Home,లతా నర్సింగ్ హోమ్,లతా నర్సింగ్ హోమ్
1070,మాక్స్ మల్టీ స్పెషాలిటీ సెంటర్ పిటంపూర్,Max Multi Speciality Centre Pitampura,మాక్స్ మల్టీ స్పెషలిటీ సెంటర్ పీఠంపుర,మాక్స్ మల్టీ స్పెషాలిటీ సెంటర్ పిటంపూర్
1071,నిర్ధారణ ఆస్పత్రి,Nidaan హాస్పిటల్,నిదానం హాస్పిటల్,నిదాన హాస్పిటల్
1072,బస్సి నర్సింగ్ హోమ్ ప్రైవేట్ లిమిటెడ్,Bassi Nursing Home Private లిమిటెడ్,బస్సి నర్సింగ్ హోమ్ ప్రైవేట్ లిమిటెడ్,బస్సి నర్సింగ్ హోమ్ ప్రైవేట్ లిమిటెడ్
1073,లక్ష్మీ నారాయణ్ హాస్పిటల్,Laxmi Narayan హాస్పిటల్,లక్ష్మి నారాయణ్ హాస్పిటల్,లక్ష్మీ నారాయణ్ హాస్పిటల్
1074,కేంద్ర ఆసుపత్రి,Central హాస్పిటల్,సెంట్రల్ హాస్పిటల్,సెంట్రల్ హాస్పిటల్
1075,భారత్ ఆసుపత్రి,Bharathi హాస్పిటల్,భారతి హాస్పిటల్,భారతి హాస్పిటల్
1076,"SPM హాస్పిటల్, రీసెర్చ్ అండ్ ట్రామా సెంటర్ ","SPM హాస్పిటల్, Research అండ్ Trauma Centre","స్పీన్ హాస్పిటల్, రీసెర్చ్ అండ్ ట్రామా సెంటర్","SPM హాస్పిటల్, రీసెర్చ్ అండ్ ట్రామా సెంటర్ "
1077,"కిడ్స్ క్లినిక్ భారతదేశం ప్రైవేట్. లిమిటెడ్, క్లౌడ్ నైన్ హాస్పిటల్ ","Kids Clinic ఇండియా ప్రైవేట్. లిమిటెడ్ ., క్లౌడ్ నైన్ హాస్పిటల్","కిడ్స్ క్లినిక్ ఇండియా ప్రైవేట్. లిమిటెడ్ ., క్లోజుడ్నినే హాస్పిటల్","కిడ్స్ క్లినిక్ భారతదేశం ప్రైవేట్. లిమిటెడ్, క్లౌడ్ నైన్ హాస్పిటల్ "
1078,"జిందాల్ IVF అండ్ SANT మెమోరియల్ నర్సింగ్ హోమ్, సెక్టార్ -20D ","Jindal Ivf అండ్ Sant Memorial Nursing Home, Sector-20D","జిందాల్ ఇప్ఫ్ అండ్ సంత్ మెమోరియల్ నర్సింగ్ Home, Sector-20D","జిందాల్ IVF అండ్ సంత్ మెమోరియల్ నర్సింగ్ హోమ్, సెక్టార్-20D"
1079,నైల్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ (ప్రైవేట్) లిమిటెడ్,Nyle Institute Of Medical Sciences (ప్రైవేట్) లిమిటెడ్ ,నీలి ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్ (ప్రైవేట్) ల్టీడ్,నైల్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ (ప్రైవేట్) లిమిటెడ్
1080,చబ్రా ఆసుపత్రి,Chhabra హాస్పిటల్,చ్చబ్రా హాస్పిటల్,చబ్రా ఆసుపత్రి
1081,జై హింద్ హెల్త్కేర్,Jai Hind Healthcare,జై హింద్ హెల్త్ కేర్,జై హింద్ హెల్త్కేర్
1082,Parekhs హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,Parekhs హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,పరీక్ష హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,పరేఖ్స్ హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .
1083,"మహాజన్ హాస్పిటల్, చెప్పండి ","Mahajan హాస్పిటల్, Batala","మహాజన్ హాస్పిటల్, బాటలు","మహాజన్ హాస్పిటల్, చెప్పండి "
